iter	Passed	Remaining
0	39	11873
1	73	11006
2	106	10576
3	140	10431
4	171	10136
5	203	9965
6	239	10035
7	274	10033
8	312	10109
9	350	10170
10	388	10203
11	426	10232
12	466	10298
13	504	10302
14	545	10355
15	585	10386
16	617	10278
17	650	10198
18	683	10102
19	714	10004
20	744	9897
21	775	9805
22	804	9693
23	835	9609
24	866	9530
25	899	9478
26	931	9416
27	966	9384
28	1005	9392
29	1038	9350
30	1079	9366
31	1116	9352
32	1148	9293
33	1179	9231
34	1211	9172
35	1240	9099
36	1274	9057
37	1305	9001
38	1334	8928
39	1365	8873
40	1395	8813
41	1425	8758
42	1459	8720
43	1490	8671
44	1522	8624
45	1557	8600
46	1594	8580
47	1624	8526
48	1653	8469
49	1684	8420
50	1717	8386
51	1746	8328
52	1781	8301
53	1813	8260
54	1845	8223
55	1874	8165
56	1907	8131
57	1940	8096
58	1971	8051
59	2005	8020
60	2038	7984
61	2070	7946
62	2102	7907
63	2134	7871
64	2167	7834
65	2197	7792
66	2230	7757
67	2258	7704
68	2294	7680
69	2337	7678
70	2378	7671
71	2410	7634
72	2448	7613
73	2483	7584
74	2521	7564
75	2555	7530
76	2588	7497
77	2622	7465
78	2667	7460
79	2723	7488
80	2764	7473
81	2812	7478
82	2846	7442
83	2881	7410
84	2920	7387
85	2966	7381
86	3002	7351
87	3040	7325
88	3079	7301
89	3116	7272
90	3153	7243
91	3188	7209
92	3225	7179
93	3266	7159
94	3304	7130
95	3343	7105
96	3382	7079
97	3421	7052
98	3457	7018
99	3492	6984
100	3526	6948
101	3565	6920
102	3604	6894
103	3639	6859
104	3681	6836
105	3722	6813
106	3759	6781
107	3796	6749
108	3835	6720
109	3867	6680
110	3912	6661
111	3956	6641
112	4029	6668
113	4085	6666
114	4125	6637
115	4158	6596
116	4190	6553
117	4220	6509
118	4257	6476
119	4287	6431
120	4318	6388
121	4348	6345
122	4383	6307
123	4415	6266
124	4445	6223
125	4478	6184
126	4507	6140
127	4545	6107
128	4577	6067
129	4608	6026
130	4642	5989
131	4673	5947
132	4707	5910
133	4740	5872
134	4772	5833
135	4803	5793
136	4835	5753
137	4865	5711
138	4900	5676
139	4932	5636
140	4964	5598
141	4995	5558
142	5025	5517
143	5058	5479
144	5090	5441
145	5120	5401
146	5153	5363
147	5183	5323
148	5226	5296
149	5260	5260
150	5295	5225
151	5331	5190
152	5366	5156
153	5399	5118
154	5429	5078
155	5473	5052
156	5506	5015
157	5542	4981
158	5579	4947
159	5610	4909
160	5649	4877
161	5683	4841
162	5728	4814
163	5768	4783
164	5805	4749
165	5844	4717
166	5878	4681
167	5914	4647
168	5950	4612
169	5990	4580
170	6025	4545
171	6063	4512
172	6112	4487
173	6151	4454
174	6188	4420
175	6223	4384
176	6268	4355
177	6310	4325
178	6348	4291
179	6388	4258
180	6427	4225
181	6470	4194
182	6506	4159
183	6542	4124
184	6578	4089
185	6613	4053
186	6655	4021
187	6702	3992
188	6741	3959
189	6777	3923
190	6814	3888
191	6853	3855
192	6888	3818
193	6929	3786
194	6962	3749
195	7002	3715
196	7037	3679
197	7072	3643
198	7107	3607
199	7142	3571
200	7177	3535
201	7221	3503
202	7264	3471
203	7310	3440
204	7357	3409
205	7392	3373
206	7430	3338
207	7466	3302
208	7496	3264
209	7527	3226
210	7557	3187
211	7587	3149
212	7621	3112
213	7652	3075
214	7681	3037
215	7713	2999
216	7743	2961
217	7771	2923
218	7799	2884
219	7826	2845
220	7868	2812
221	7914	2780
222	7948	2744
223	7987	2709
224	8024	2674
225	8063	2640
226	8098	2604
227	8130	2567
228	8169	2532
229	8205	2497
230	8241	2461
231	8277	2426
232	8309	2389
233	8342	2352
234	8374	2316
235	8413	2281
236	8459	2248
237	8509	2216
238	8561	2185
239	8610	2152
240	8658	2119
241	8700	2085
242	8735	2048
243	8777	2014
244	8811	1978
245	8848	1942
246	8884	1906
247	8919	1870
248	8955	1834
249	8990	1798
250	9032	1763
251	9072	1728
252	9109	1692
253	9141	1655
254	9173	1618
255	9210	1583
256	9248	1547
257	9284	1511
258	9321	1475
259	9361	1440
260	9400	1404
261	9435	1368
262	9484	1334
263	9519	1298
264	9554	1261
265	9592	1226
266	9625	1189
267	9667	1154
268	9709	1118
269	9765	1085
270	9825	1051
271	9862	1015
272	9909	980
273	9947	943
274	9991	908
275	10027	871
276	10063	835
277	10098	799
278	10134	762
279	10171	726
280	10207	690
281	10241	653
282	10276	617
283	10311	580
284	10341	544
285	10376	507
286	10415	471
287	10454	435
288	10490	399
289	10522	362
290	10586	327
291	10659	292
292	10717	256
293	10758	219
294	10794	182
295	10829	146
296	10864	109
297	10901	73
298	10939	36
299	10975	0
